course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.professor.teacher_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username,diff_date,avg_views,base_date,excerpt_notes
700430,28278841,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,3,Spring,0,2023,28278841,51659457,,12/4/19 0:56,5,63248af4389110a8fccd342f74ba674b3150e593,FALSE,FALSE,https://www.coursehero.com/file/51659457/Midterm-1-Solutionpdf/,Midterm-1 Solution.pdf,36,test_prep,Other,Test prep,1.00E+14,JusticeReindeer2680,1553,0.02318094,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,21777486,"University of UtahCollege of EngineeringElectrical and Computer Engineering DepartmentHomework #3Due 5pm, February 8, 2017 (Wednesday)Professor YoungECE 2280Spring 2017Use the following circuit for Problems 1 and 2.Problem 1 (15 points). Assume a",4/9/17 14:37,3,2960188e334c8f620f474edc156e5cf7f21b0959,FALSE,FALSE,https://www.coursehero.com/file/21777486/HW3/,HW3,57,,Assignment,,1.00E+14,Revolution801,2522,0.02260111,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,33281417,"University of UtahCollege of EngineeringElectrical and Computer Engineering DepartmentMidterm-1February 6, 2017Professor Young ECE 2280Spring 2017Name: 39 253%. 3%UID: Show all our work ste s and write down our answer clearl . Problem 1 (30 po",9/18/18 17:48,5,6159cf0dc27f5c5f6e3198004ba1be0cb5fcfa17,FALSE,FALSE,https://www.coursehero.com/file/33281417/Midterm-1-Solutionpdf/,Midterm-1-Solution.pdf,45,test_prep,Other,Test prep,1.00E+14,lurquin,1995,0.022556391,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,21777532,"U)HR) 6 Sow/04](I) TALL Tl/lQUQM'VA (ii-Mal CUUMI"".5v(out VHF 5 V1 5"" lwiv51411 ' 1[A t (NA DC ska V-H) (34/.WWV-= J2 = okQ3/ Egg RH, SchZ+ Sk ( .QQ=(OQQ :WW 15V laVIe. RH) - (AN-54040 +1L7V=0Var-(2V 5: 0- b7 ZSV IB' ( 031:? :[3 (81) (040:0.",4/9/17 14:37,11,dc7d18c2533a7341bb4861db344178144a1b7434,FALSE,FALSE,https://www.coursehero.com/file/21777532/HW-6-Solution/,HW-6-Solution,49,,Notes,,1.00E+14,Revolution801,2522,0.019429025,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,21777497,"University of UtahCollege of EngineeringElectrical and Computer Engineering DepartmentHomework #6Due 5pm, March 27, 2017 (Monday)Professor YoungECE 2280Spring 20171. For the circuit shown below, assuming VBE = 0.7V and = 100, and ignore ro.(a) As",4/9/17 14:37,5,6a2416509b5a4b11c3c1018d06648a4f1d0b34db,TRUE,FALSE,https://www.coursehero.com/file/21777497/HW-6/,HW-6,47,,Assignment,,1.00E+14,Revolution801,2522,0.018636003,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,19448573,UNIVERSITY OF UTAHDEPARTMENT OF ELECTRICAL AND COMPUTER ENGINEERINGECE 2280A. Rasmussen/A. Stolp3/2014Lab #4cfw_100 pts MOSFET TRANSISTORSOBJECTIVESTo bias a NMOS transistor.To use a NMOS transistor in a common-source amplifier configuration and ,2/1/17 10:58,5,432df0eb059eaa68bc553bf9e74f19858e333628,TRUE,FALSE,https://www.coursehero.com/file/19448573/Lab4/,Lab4,48,lab,Lab,Lab,1.00E+14,kylejunk,2589,0.018539977,3/5/24 10:00,
700430,10232186,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,3,Spring,0,2019,10232186,51658533,University of UtahDepartment of Electrical and Computer EngineeringECE 2280Lab-1Professor YoungFall 2019OBJECTIVES: Reacquaint yourself with the laboratory equipment and procedures Compare experiment and derived Bode plots Understanding Bode plot,12/4/19 0:45,5,4b7805d57fe5f313e00e5d55656db59bd77e2e5f,FALSE,FALSE,https://www.coursehero.com/file/51658533/Lab-1-Hand-Outpdf/,Lab-1-Hand-Out.pdf,27,lab,Lab,Lab,1.00E+14,JusticeReindeer2680,1553,0.017385705,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,21777543,"( ' H S\/+ 2.2V% 2._&gt; 4""2 Io: ZUC + 07V + 3\/:1: 3\/""WV0 = U0 _ C (77 V) + V0 . Z V CWV) U0 12%;! (WWW-cfw_5V1 2(ch L ([ch 2/41 071/ 7_l_/ _2_zv (?~7\/(/OC Ta ZleL-t (cw 2,102) ~_ .7V _U0: Egg: cfw_4.5 AL/V _,Lb) IO: 0 (EL/Q 0 QJDW/JLLC) J",4/9/17 14:38,10,ff35eadbe7788f137e78539d922e905aac7d7962,FALSE,FALSE,https://www.coursehero.com/file/21777543/HW3-Solution/,HW3-Solution,42,,Other,,1.00E+14,Revolution801,2522,0.01665345,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,21777548,"acnzzao Homework #7 sioLUTioN cfw_=1 V. In each case the voltages at the. You are required to complete theoverdrive voltage and 15 equal to (iVGslthl).-lm_ lVovl lVDsl Region of O-eration. +2.5 +1.0 1.5 1.0    U1triode, VGS&gt;Vt, VDS&lt;Vov satura",4/9/17 14:37,8,4fe2eb2475e29ecea060156076101777c471b59e,FALSE,FALSE,https://www.coursehero.com/file/21777548/HW-7-Solution/,HW-7-Solution,41,,Assignment,,1.00E+14,Revolution801,2522,0.016256939,3/5/24 10:00,
700430,8190915,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,3,Spring,0,2018,8190915,39296262,,3/23/19 4:39,5,4648bd998a933e91dd9679b6252c3c06de41e71b,FALSE,FALSE,https://www.coursehero.com/file/39296262/Midterm-1-Solutionpdf/,Midterm-1-Solution.pdf,29,test_prep,Other,Test prep,1.00E+14,DoctorButterfly1491,1809,0.016030956,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,19448536,UNIVERSITY OF UTAHDEPARTMENT OF ELECTRICAL AND COMPUTER ENGINEERINGECE 2280SPRING-2015Project #3 MOSFET Amplifiers Do your own work. Clearly present your work. All printouts must be readable.OBJECTIVES:Design MOSFET amplifiersEstablish a dc bias,2/1/17 10:58,2,9e98896f336d2c6be506fbcf29e11cb5680e1754,FALSE,FALSE,https://www.coursehero.com/file/19448536/Project3-MosFetAmplfiier/,Project3_MosFetAmplfiier,41,lab,Notes,Lab,1.00E+14,kylejunk,2589,0.01583623,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,21777494,"HW1SolutionProblem1(1) V1=Vg/2V2=0.2V1*100=0.1Vg*100=10VgVout=(10|10)*0.4V2=5*0.4*10Vg=20VgSo,Vout/Vg=20(2) ShortingtheinputvoltageVg,(i.e.Vg=0V)V1=0VSodependentcurrentsourcesareallzerooropencircuit.RTH=5ohmProblem2(a) Vout=40V(b) Vout=140V(c)",4/9/17 14:37,4,5f81fb4f12ba0b525bc93fadab3992a47efe3771,FALSE,FALSE,https://www.coursehero.com/file/21777494/HW1-solution/,HW1_solution,38,,Other,,1.00E+14,Revolution801,2522,0.015067407,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,21777509,"University of UtahCollege of EngineeringElectrical and Computer Engineering DepartmentHomework #5Due 5pm, March 8, 2017 (Wednesday)Professor YoungECE 2280Spring 20171. For the circuit shown below, draw the AC small-signal equivalent circuit. Make ",4/9/17 14:38,8,7b8d28721b8c05a2f68cc009a7f87761b1cfb997,TRUE,FALSE,https://www.coursehero.com/file/21777509/HW5/,HW5,37,,Assignment,,1.00E+14,Revolution801,2522,0.014670896,3/5/24 10:00,
700430,11477996,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,1,Fall,0,2019,11477996,50276140,"University of UtahCollege of EngineeringElectrical and Computer Engineering DepartmentHomework #3Due 5pm, September 18, 2019 (Wednesday)Professor YoungECE 2280Fall 2019Use the following circuit for Problems 1 and 2.Problem 1 (15 points). Assume a",11/12/19 20:51,3,53c92eb04cc091ce25770927100b07bf5ec1390a,FALSE,FALSE,https://www.coursehero.com/file/50276140/HW-03pdf/,HW-03.pdf,23,,Assignment,,1.00E+14,impulsivesquirrel,1575,0.014603175,3/5/24 10:00,
700430,11477996,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,1,Fall,0,2019,11477996,143409626,,4/20/22 1:00,6,61cf33ee4cde279a4e678f9cee5d6830ead7f847,FALSE,FALSE,https://www.coursehero.com/file/143409626/Exam3-Solutionpdf/,Exam3_Solution.pdf,9,,Other,,1.00E+14,avinkaobama120,685,0.013138686,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,19448587,UNIVERSITY OF UTAHDEPARTMENT OF ELECTRICAL AND COMPUTER ENGINEERING' ECE 2280A. Rasmussen/A. Stolp1/14Lab #2 cfw_100 pts DiodesOBJECTIVES:I Understand the basic operation and characteristics of a diode.- Understand basic circuits containing a diod,2/1/17 10:58,8,ff80e35b5c33c789f6951ff2f27c85c54b053e04,FALSE,FALSE,https://www.coursehero.com/file/19448587/Lab2Diode-Speaker-Circuit/,Lab2Diode_Speaker_Circuit,34,lab,Other,Lab,1.00E+14,kylejunk,2589,0.013132484,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,21777503,"University of UtahCollege of EngineeringElectrical and Computer Engineering DepartmentHomework #4Due 5pm, February 22, 2017 (Wednesday)Professor YoungECE 2280Spring 20171. The terminal voltages of various npn transistors are measured during operat",4/9/17 14:37,5,1b796c474d607acd7ff1b2c7b3b75f823be721d5,FALSE,FALSE,https://www.coursehero.com/file/21777503/HW-4/,HW-4,31,,Assignment,,1.00E+14,Revolution801,2522,0.012291832,3/5/24 10:00,
700430,10232186,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,3,Spring,0,2019,10232186,39302606,University of UtahCollege of EngineeringDepartment of Electrical and Computer EngineeringECE 2280 Fundamentals of Engineering ElectronicsD. J. YoungECE 2280Spring 2019Course Objectives:Understanding of signal response in frequency domain (Bode Plo,3/23/19 16:21,7,15847826bc5c4d1e71a6d52c4219872f9ef008f8,FALSE,FALSE,https://www.coursehero.com/file/39302606/Lecture-1pdf/,Lecture-1.pdf,22,,Syllabus,,1.00E+14,jhuntin6,1809,0.012161415,3/5/24 10:00,
700430,11477996,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,1,Fall,0,2019,11477996,143410742,,4/20/22 1:00,5,d0b552755ff0ee5d1516bd688cff53d2395e4503,FALSE,FALSE,https://www.coursehero.com/file/143410742/Exam2-Solutionpdf/,Exam2_Solution.pdf,8,,Other,,1.00E+14,avinkaobama120,685,0.011678832,3/5/24 10:00,
700430,11477996,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,1,Fall,0,2019,11477996,50569077,,11/17/19 17:11,7,53fb47dad970769afb013ba02a28df1a0ec29f5b,FALSE,FALSE,https://www.coursehero.com/file/50569077/Midterm-2-Solutionpdf/,Midterm-2-Solution.pdf,18,test_prep,Other,Test prep,1.00E+14,CoachLightning6899,1570,0.011464968,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,181082282,,11/29/22 1:59,10,6b47ab1954f563416fc05abb9683dfc170819204,FALSE,FALSE,https://www.coursehero.com/file/181082282/HW3-Solutionpdf/,HW3-Solution.pdf,5,,Other,,1.00E+14,CoachBaboon2052,462,0.010822511,3/5/24 10:00,
700430,10232186,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,3,Spring,0,2019,10232186,51659234,,12/4/19 0:56,6,2e230e7ce1ff7d504ce6dfa1ecc1b134d8b57b43,FALSE,FALSE,https://www.coursehero.com/file/51659234/Midterm-2-solutionpdf/,Midterm-2-solution.pdf,16,test_prep,Other,Test prep,1.00E+14,JusticeReindeer2680,1553,0.01030264,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,21777555,"HW-2 SolutionProblem 1Replacing s=jw in H(s),H(jw)=5000(jw+1000)/(jw+100)(jw+10)       Angle of H(jw)=tan1(0) + tan""1 - tan'1 W- -tan'1 11000 100 10Putting pole zero values ofw in these two equations:w Magnitude of How)-1 4-9997 _1 4-9749",4/9/17 14:37,11,96d8c53b5b20d4be1b002733cef58477ad17f047,FALSE,FALSE,https://www.coursehero.com/file/21777555/HW-2-Solution/,HW-2-Solution,25,,Assignment,,1.00E+14,Revolution801,2522,0.009912768,3/5/24 10:00,
700430,10232186,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,3,Spring,0,2019,10232186,51658443,"University of UtahCollege of EngineeringElectrical and Computer Engineering DepartmentHomework #9Due 5pm, April 23, 2019 (Tuesday)Professor YoungECE 2280Spring 20191. Derive an expression for Vo in terms of not more than Vs, is, R1, R2, R3, and R4",12/4/19 0:44,2,770af5d74458f8645e18debec9c842b215b3d31f,FALSE,FALSE,https://www.coursehero.com/file/51658443/HW9pdf/,HW9.pdf,15,,Assignment,,1.00E+14,JusticeReindeer2680,1553,0.009658725,3/5/24 10:00,
700430,1742367,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,2,Winter,0,2014,1742367,28654690,"18A Simplistic Approachto the Analysis ofTransistor Amplifiers18.1	 Introduction. 18-1MOS Transistor Bipolar Transistors18.2	 Calculating Biasing Currents. 18-318.3	 Small Signal Analysis.18-6Bogdan M.WilamowskiAuburn UniversityJ. David IrwinA",2/23/18 15:28,20,59adbb334a332207672d7032852cf65b524a5dc1,FALSE,FALSE,https://www.coursehero.com/file/28654690/Transistorspdf/,Transistors.pdf,21,notes,Notes,Notes,1.00E+14,AlbertTesla,2202,0.009536785,3/5/24 10:00,
700430,11477996,Fund Eng Electronics,2280,ECE,148032,197077,"Rasmussen,A",0,"Rasmussen,A",197077,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/700430-ECE2280/,2382,University of Utah,1,Fall,0,2019,11477996,50276571,"University of UtahCollege of EngineeringElectrical and Computer Engineering DepartmentHomework #1Due 5pm, September 4, 2019 (Wednesday)Professor YoungECE 2280Fall 2019Problem 1 (30 points):(1) Find Vout/Vg.(2) Assuming Vg is the input signal, fi",11/12/19 20:51,2,30ff41447206643d45f424a711fc631edad4bdda,FALSE,FALSE,https://www.coursehero.com/file/50276571/HW-01pdf/,HW-01.pdf,14,,Assignment,,1.00E+14,impulsivesquirrel,1575,0.008888889,3/5/24 10:00,
